あ		expr.	Ah; oh
続ける	つづける	v.(ru. t.)	to continue; to keep up; to keep on
続く	つづく	v.(u. i.)	to continue
都合	つごう	n.	convenience
捕まえる	つかまえる	v.(ru. t.)	to catch
漬ける	つける	v.(ru. t.)	to soak; to pickle
月	つき	n.	moon
付く	つく	v.(u. i.)	to be attached
妻	つま	n.	(humble) wife
連れる	つれる	v.(ru. t.)	to take (someone) with one
釣る	つる	v.(u. t.)	to fish
伝える	つたえる	v.(ru. t.)	to report; to tell
包む	つつむ	v.(u. t.)	to wrap
腕	うで	n.	arm
植える	うえる	v.(ru. t.)	to plant; to grow
動く	うごく	v.(u. i.)	to move
伺う	うかがう	v.(u. t.)	to visit
受ける	うける	v.(ru. t.)	to take a lesson or test
受付	うけつけ	n.	reception (desk); information desk​
生まれ	うまれ	n.	birth
運転手	うんてんしゅ	n.	driver; chauffeur
裏	うら	n.	reverse side
嬉しい	うれしい	adj.(i-adj.)	happy
売り場	うりば	n.	selling area
嘘	うそ	n.	a lie
打つ	うつ	v.(u. t.)	to hit
美しい	うつくしい	adj.(i-adj.)	beautiful
移る	うつる	v.(u. i.)	to move house or transfer
写す	うつす	v.(u. t.)	to copy or photograph
ワープロ		n.(kat.)	word processor
別れる	わかれる	v.(ru. i.)	to separate
沸かす	わかす	v.(u. t.)	to boil; to heat
沸く	わく	v.(u. i.)	to boil
笑う	わらう	v.(u. i.)	to laugh; to smile
割れる	われる	v.(ru. i.)	to break
割合	わりあい	n.	rate; ratio
忘れ物	わすれもの	n.	lost article
焼ける	やける	v.(ru. i.)	to burn; to be roasted
焼く	やく	v.(u. t.)	to bake; to grill
役に立つ	やくにたつ	v.(u.)	to be helpful
約束	やくそく	n.(suru)	promise
止む	やむ	v.(u. i.)	to stop
やっぱり		adv.	as I thought
優しい	やさしい	adj.(i-adj.)	kind
痩せる	やせる	v.(ru. i.)	to become thin
柔らかい	やわらかい	adj.(i-adj.)	soft
汚れる	よごれる	v.(ru. i.)	to get dirty
喜ぶ	よろこぶ	v.(u.)	to be delighted
寄る	よる	v.(u. i.)	to visit; to drop by
予習	よしゅう	n.(suru)	preparation for a lesson
予定	よてい	n.(suru)	plan
用	よう	n.	business; task; errand; use; purpose
用意	ようい	n.(suru)	preparation; arrangements; provision; getting ready
用事	ようじ	n.	tasks; things to do; errand; business (to take care of)
予約	よやく	n.(suru)	reservation
湯	ゆ	n.	hot water
指	ゆび	n.	finger
指輪	ゆびわ	n.	finger ring
夢	ゆめ	n.	dream
揺れる	ゆれる	v.(ru. i.)	to shake
残念	ざんねん	n.(na-adj.)	regrettable; unfortunate
全然	ぜんぜん	adv.	not entirely (used in a negative sentence)
